# jieba custom dictionary for CUV Traditional biblical proper names
# Format per line: word  frequency  POS_tag
#
# POS tag nr = person name  -> excluded by ZH_EXCLUDE_TAGS filter
# POS tag ns = place name   -> excluded by ZH_EXCLUDE_TAGS filter
# POS tag nt = org/group    -> excluded by ZH_EXCLUDE_TAGS filter
#
# Frequency 1000 forces jieba to always treat these as single tokens
# rather than mis-segmenting them into character fragments (e.g.
# 亞伯拉罕 -> 亞伯 + 拉罕 without this dictionary entry).
#
# This dictionary must be loaded before any jieba segmentation.
# See 02_preprocessing.py: jieba.load_userdict(JIEBA_DICT_PATH)

# ── Patriarchs & Matriarchs ───────────────────────────────────────────────────
亞伯拉罕 1000 nr
撒拉 1000 nr
夏甲 1000 nr
以實瑪利 1000 nr
以撒 1000 nr
利百加 1000 nr
雅各 1000 nr
以掃 1000 nr
拉結 1000 nr
利亞 1000 nr
悉帕 1000 nr
辟拉 1000 nr
流便 1000 nr
西緬 1000 nr
利未 1000 nr
猶大 1000 nr
以薩迦 1000 nr
西布倫 1000 nr
但 1000 nr
拿弗他利 1000 nr
迦得 1000 nr
亞設 1000 nr
約瑟 1000 nr
便雅憫 1000 nr
以法蓮 1000 nr
瑪拿西 1000 nr
他瑪 1000 nr
波阿斯 1000 nr
路得 1000 nr
拿俄米 1000 nr

# ── Moses Era ─────────────────────────────────────────────────────────────────
摩西 1000 nr
亞倫 1000 nr
約書亞 1000 nr
迦勒 1000 nr
法老 1000 nr
西坡拉 1000 nr
葉忒羅 1000 nr
比撒列 1000 nr
亞何利亞伯 1000 nr

# ── Judges ────────────────────────────────────────────────────────────────────
基甸 1000 nr
底波拉 1000 nr
巴拉 1000 nr
耶弗他 1000 nr
參孫 1000 nr
俄陀聶 1000 nr
以笏 1000 nr
珊迦 1000 nr

# ── Early Kingdom ─────────────────────────────────────────────────────────────
撒母耳 1000 nr
哈拿 1000 nr
以利 1000 nr
掃羅 1000 nr
約拿單 1000 nr
大衛 1000 nr
拔示巴 1000 nr
烏利亞 1000 nr
所羅門 1000 nr
亞多尼雅 1000 nr
示巴女王 1000 nr
耶羅波安 1000 nr
羅波安 1000 nr
亞比雅 1000 nr
亞撒 1000 nr
押尼珥 1000 nr
戶珥 1000 nr

# ── Prophets ──────────────────────────────────────────────────────────────────
以利亞 1000 nr
以利沙 1000 nr
以賽亞 1000 nr
耶利米 1000 nr
巴錄 1000 nr
以西結 1000 nr
但以理 1000 nr
哈拿尼雅 1000 nr
米沙利 1000 nr
亞撒利雅 1000 nr
何西阿 1000 nr
約珥 1000 nr
阿摩司 1000 nr
俄巴底亞 1000 nr
約拿 1000 nr
彌迦 1000 nr
那鴻 1000 nr
哈巴谷 1000 nr
西番雅 1000 nr
哈該 1000 nr
撒迦利亞 1000 nr
瑪拉基 1000 nr
以斯拉 1000 nr
尼希米 1000 nr

# ── Later Kings ───────────────────────────────────────────────────────────────
亞哈 1000 nr
耶洗別 1000 nr
亞哈謝 1000 nr
約蘭 1000 nr
耶戶 1000 nr
希西家 1000 nr
西拿基立 1000 nr
瑪拿西 1000 nr
約西亞 1000 nr
約雅敬 1000 nr
西底家 1000 nr
尼布甲尼撒 1000 nr
大利烏 1000 nr
古列 1000 nr
亞達薛西 1000 nr
以斯帖 1000 nr
末底改 1000 nr
哈曼 1000 nr

# ── NT: Jesus & Family ────────────────────────────────────────────────────────
耶穌 1000 nr
馬利亞 1000 nr
約瑟 1000 nr
施洗約翰 1000 nr
約翰 1000 nr
撒迦利亞 1000 nr
